start_node,end_node,distance,route_id,route_short_name
stop693,stop2313,132.1922502,route3225,walking
stop693,stop2355,294.1880049,route3226,walking
stop693,stop781,146.685365,route3219,walking
stop694,stop1883,322.0409804,route3229,walking
stop694,stop2313,350.5455282,route3230,walking
stop694,stop2355,239.3657364,route3231,walking
stop694,stop692,184.8193007,route3227,walking
stop694,stop695,141.0694154,route3228,walking
stop695,stop1186,336.3345092,route3234,walking
stop695,stop1187,321.3001609,route3235,walking
stop695,stop1883,353.6564503,route3236,walking
stop695,stop2355,316.7014488,route3237,walking
stop695,stop692,242.5128062,route3232,walking
stop695,stop694,141.0694154,route3233,walking
stop696,stop1046,216.1609676,route3239,walking
stop696,stop697,62.1650715,route3238,walking
stop697,stop1046,276.8034644,route3241,walking
stop697,stop696,62.1650715,route3240,walking
stop699,stop492,258.7471682,route3242,walking
stop7,stop4,27.17154848,route893,walking
stop7,stop5,108.5849403,route894,walking
stop7,stop6,91.43659689,route895,walking
stop7,stop8,28.38697346,route896,walking
stop7,stop9,116.5992172,route897,walking
stop70,stop2547,329.7020435,route1094,walking
stop70,stop2548,347.8636315,route1095,walking
stop70,stop269,339.74737,route1093,walking
stop70,stop2724,27.06954541,route1096,walking
stop70,stop2725,44.00596057,route1097,walking
stop70,stop64,174.7368041,route1091,walking
stop70,stop69,19.52024665,route1092,walking
stop700,stop958,316.9224088,route3243,walking
stop701,stop1374,302.4135233,route3244,walking
stop701,stop1375,304.1910434,route3245,walking
stop702,stop223,237.4236746,route3246,walking
stop702,stop224,241.1113273,route3247,walking
stop702,stop2771,202.5061723,route3249,walking
stop702,stop703,16.50602938,route3248,walking
stop703,stop223,235.0012775,route3250,walking
stop703,stop224,237.9611682,route3251,walking
stop703,stop2771,200.6769761,route3253,walking
stop703,stop702,16.50602938,route3252,walking
stop704,stop705,9.507254712,route3254,walking
stop705,stop704,9.507254712,route3255,walking
stop706,stop1446,80.88681896,route3256,walking
stop706,stop1447,102.8033597,route3257,walking
stop707,stop134,273.5382125,route3258,walking
stop707,stop135,276.2392603,route3259,walking
stop707,stop1699,257.9488612,route3261,walking
stop707,stop1700,273.302126,route3262,walking
stop707,stop708,7.734846071,route3260,walking
stop708,stop134,273.1914459,route3263,walking
stop708,stop135,275.6694647,route3264,walking
stop708,stop1699,258.9016521,route3266,walking
stop708,stop1700,274.3216815,route3267,walking
stop708,stop707,7.734846071,route3265,walking
stop709,stop2788,279.8341963,route3271,walking
stop709,stop710,10.33758373,route3268,walking
stop709,stop711,162.4752766,route3269,walking
stop709,stop712,142.5773503,route3270,walking
stop71,stop72,135.7230042,route1098,walking
stop710,stop2788,276.5719472,route3275,walking
stop710,stop709,10.33758373,route3272,walking
stop710,stop711,165.7297151,route3273,walking
stop710,stop712,146.4964082,route3274,walking
stop711,stop1290,387.2952144,route3279,walking
stop711,stop2349,377.9580345,route3280,walking
