start_node,end_node,distance,route_id
stop1,stop2032,74.35174615928494,walking
stop2,stop3,85.26691743144399,walking
stop3,stop2,85.26691743144399,walking
stop4,stop7,108.68619390833517,walking
stop4,stop8,145.84912117868376,walking
stop5,stop9,38.13862748160012,walking
stop6,stop7,365.7463875738977,walking
stop6,stop8,262.6305060037526,walking
stop7,stop4,108.68619390833517,walking
stop7,stop6,365.7463875738977,walking
stop7,stop8,113.54789385661334,walking
stop8,stop4,145.84912117868376,walking
stop8,stop6,262.6305060037526,walking
stop8,stop7,113.54789385661334,walking
stop9,stop5,38.13862748160012,walking
stop10,stop11,105.35798041639781,walking
stop11,stop10,105.35798041639781,walking
stop13,stop14,58.16332692948665,walking
stop14,stop13,58.16332692948665,walking
stop15,stop715,128.97205869089217,walking
stop15,stop716,183.10011944953436,walking
stop19,stop890,181.33322771499684,walking
stop19,stop891,191.3078890641565,walking
stop20,stop21,297.1714958679332,walking
stop21,stop20,297.1714958679332,walking
stop24,stop25,97.36156107639854,walking
stop25,stop24,97.36156107639854,walking
stop26,stop2027,356.25136615259333,walking
stop27,stop28,56.317701158284635,walking
stop28,stop27,56.317701158284635,walking
stop32,stop33,154.07985359772678,walking
stop33,stop32,154.07985359772678,walking
stop34,stop36,352.1235883733209,walking
stop34,stop938,240.27016276379052,walking
stop34,stop939,343.5182678709761,walking
stop36,stop34,352.1235883733209,walking
stop40,stop41,127.11317513123859,walking
stop41,stop40,127.11317513123859,walking
stop42,stop43,136.50840609086316,walking
stop43,stop42,136.50840609086316,walking
stop46,stop48,115.37284525955027,walking
stop48,stop46,115.37284525955027,walking
stop50,stop51,65.51730647303658,walking
stop51,stop50,65.51730647303658,walking
stop52,stop53,60.136365877769705,walking
stop53,stop52,60.136365877769705,walking
stop54,stop55,78.73995434691837,walking
stop55,stop54,78.73995434691837,walking
stop56,stop57,42.6031393157247,walking
stop57,stop56,42.6031393157247,walking
stop59,stop60,44.31554361464902,walking
stop60,stop59,44.31554361464902,walking
stop65,stop66,332.6187290891834,walking
stop66,stop65,332.6187290891834,walking
stop67,stop68,48.10057387171376,walking
stop68,stop67,48.10057387171376,walking
stop69,stop70,78.08098660337035,walking
stop69,stop2724,103.60519399486108,walking
stop69,stop2725,114.75001730635566,walking
stop70,stop69,78.08098660337035,walking
stop70,stop2724,108.27818162761591,walking
stop70,stop2725,176.02384229488916,walking
stop73,stop74,319.10046710664767,walking
stop74,stop73,319.10046710664767,walking
stop75,stop76,64.0394385476883,walking
stop76,stop75,64.0394385476883,walking
stop77,stop78,58.96770260674635,walking
stop78,stop77,58.96770260674635,walking
stop79,stop80,193.4050832171532,walking
stop80,stop79,193.4050832171532,walking
stop81,stop82,158.53364903714888,walking
stop81,stop85,382.18133367907035,walking
stop81,stop93,361.18228814704446,walking
stop82,stop81,158.53364903714888,walking
stop82,stop83,301.3452325760509,walking
stop82,stop85,396.19646228958806,walking
stop82,stop93,337.16290262385263,walking
stop83,stop82,301.3452325760509,walking
stop83,stop84,169.51340164524757,walking
stop84,stop83,169.51340164524757,walking
stop85,stop81,382.18133367907035,walking
stop85,stop82,396.19646228958806,walking
stop86,stop87,116.16797191300928,walking
stop86,stop88,166.0575149922334,walking
stop87,stop86,116.16797191300928,walking
stop87,stop88,271.30658073077774,walking
stop88,stop86,166.0575149922334,walking
stop88,stop87,271.30658073077774,walking
stop91,stop92,158.90618197601566,walking
stop92,stop91,158.90618197601566,walking
stop93,stop81,361.18228814704446,walking
stop93,stop82,337.16290262385263,walking
stop93,stop94,164.06681101512183,walking
stop94,stop93,164.06681101512183,walking
stop95,stop100,333.98567872157577,walking
stop96,stop97,41.421292516965465,walking
stop96,stop98,168.6963074787945,walking
stop96,stop101,200.3021792316119,walking
stop97,stop96,41.421292516965465,walking
stop97,stop98,191.7541147734968,walking
stop97,stop101,174.76592845226244,walking
stop98,stop96,168.6963074787945,walking
stop98,stop97,191.7541147734968,walking
stop98,stop101,215.94905589042673,walking
stop100,stop95,333.98567872157577,walking
stop101,stop96,200.3021792316119,walking
stop101,stop97,174.76592845226244,walking
stop101,stop98,215.94905589042673,walking
stop102,stop1812,344.13137221524005,walking
stop103,stop108,227.5357208474428,walking
stop104,stop107,138.23939893284137,walking
stop105,stop107,387.8668352038224,walking
stop105,stop109,142.65401213677538,walking
stop107,stop104,138.23939893284137,walking
stop107,stop105,387.8668352038224,walking
stop107,stop109,357.25325458155356,walking
stop108,stop103,227.5357208474428,walking
stop109,stop105,142.65401213677538,walking
stop109,stop107,357.25325458155356,walking
stop110,stop111,44.039125588946,walking
stop111,stop110,44.039125588946,walking
stop115,stop116,115.40581401967962,walking
stop115,stop2808,95.31945640902266,walking
stop116,stop115,115.40581401967962,walking
stop116,stop2808,207.69672683055344,walking
stop117,stop118,47.95227373968394,walking
stop118,stop117,47.95227373968394,walking
stop119,stop120,39.422631641550346,walking
stop120,stop119,39.422631641550346,walking
stop121,stop122,58.46197289751551,walking
stop122,stop121,58.46197289751551,walking
stop123,stop2324,227.5195619269124,walking
stop125,stop128,119.07582923231556,walking
stop126,stop127,88.26738689524012,walking
stop127,stop126,88.26738689524012,walking
